WKT,County.Code,Site.Num,Parameter.Code,monitor_id
"POINT (-104.937438 39.826007)",001,0006,88101,0010006
"POINT (-104.94984 39.838119)",001,3001,44201,0013001
"POINT (-105.019526 39.604399)",005,0005,88101,0050005
"POINT (-104.957193 39.567887)",005,0002,44201,0050002
"POINT (-104.569335 39.638522)",005,0006,44201,0050006
"POINT (-105.100856 40.164576)",013,0003,88101,0130003
"POINT (-105.263382 40.021097)",013,0012,88101,0130012
"POINT (-105.238458 39.957212)",013,0011,44201,0130011
"POINT (-105.612 39.941)",013,0007,44201,0130007
"POINT (-106.001 38.91)",015,0001,44201,0150001
"POINT (-105.592 39.643)",019,0004,44201,0190004
"POINT (-105.641 39.587)",019,0005,44201,0190005
"POINT (-104.987625 39.751184)",031,0002,88101,0310002
"POINT (-104.95665 39.781083)",031,0023,88101,0310023
"POINT (-104.998113 39.704005)",031,0025,88101,0310025
"POINT (-105.030681 39.751761)",031,0014,44201,0310014
"POINT (-104.998113 39.704005)",031,0025,44201,0310025
"POINT (-105.070358 39.534488)",035,0004,88101,0350004
"POINT (-105.070358 39.534488)",035,0004,44201,0350004
"POINT (-104.63477 39.231384)",039,0001,88101,0390001
"POINT (-104.828564 38.848014)",041,0017,88101,0410017
"POINT (-104.817215 38.958341)",041,0013,44201,0410013
"POINT (-104.901289 38.853097)",041,0016,44201,0410016
"POINT (-107.38 39.426)",045,0016,44201,0450016
"POINT (-107.784125 39.54182)",045,0012,44201,0450012
"POINT (-107.312 40.085)",045,0015,44201,0450015
"POINT (-107.168 39.489)",045,0017,44201,0450017
"POINT (-107.617 39.799)",045,0014,44201,0450014
